Время (с),A0 (В),A2 (В)
0.0,1.902,3.000
0.0010063648223876953,1.765,3.118
0.0010063648223876953,1.647,3.353
0.0010063648223876953,1.549,3.490
0.0010063648223876953,1.490,3.549
0.0010063648223876953,1.471,3.608
0.0010063648223876953,1.490,3.706
0.0010063648223876953,1.529,3.686
0.0010063648223876953,1.588,3.922
0.0010063648223876953,1.647,4.020
0.0010063648223876953,1.706,3.941
0.002006053924560547,1.824,4.000
0.002006053924560547,1.922,4.137
0.002006053924560547,2.000,4.294
0.002006053924560547,2.137,4.294
0.002006053924560547,2.216,4.294
0.002006053924560547,2.275,4.294
0.002006053924560547,2.333,4.294
0.002006053924560547,2.373,4.294
0.002006053924560547,2.392,4.294
0.002006053924560547,2.353,4.294
0.002006053924560547,2.353,4.294
0.002006053924560547,2.353,4.294
0.0030744075775146484,2.314,4.078
0.0030744075775146484,2.314,3.824
0.0030744075775146484,2.353,3.608
0.0030744075775146484,2.392,3.431
0.0030744075775146484,2.412,3.333
0.0030744075775146484,2.529,3.353
0.0030744075775146484,2.569,3.431
0.0030744075775146484,2.608,3.333
0.0030744075775146484,2.686,3.451
0.0030744075775146484,2.725,3.353
0.0030744075775146484,2.765,3.255
0.0030744075775146484,2.824,3.373
0.0030744075775146484,2.843,3.294
0.004074573516845703,2.882,3.275
0.004074573516845703,2.941,3.137
0.004074573516845703,2.961,2.941
0.004074573516845703,3.020,2.824
0.004074573516845703,2.980,2.804
0.004074573516845703,2.922,2.941
0.004074573516845703,2.843,3.176
0.004074573516845703,2.706,3.059
0.004074573516845703,2.549,3.275
0.004074573516845703,2.412,3.412
0.004074573516845703,2.216,3.373
0.005075216293334961,2.255,3.431
0.005075216293334961,2.157,3.667
0.005075216293334961,2.137,3.745
0.005075216293334961,2.176,3.725
0.005075216293334961,2.216,3.882
0.005075216293334961,2.275,4.039
0.005075216293334961,2.275,4.118
0.005075216293334961,2.333,4.275
0.005075216293334961,2.353,4.294
0.005075216293334961,2.333,4.294
0.005075216293334961,2.373,4.294
0.005075216293334961,2.392,4.294
0.005075216293334961,2.412,4.216
0.005075216293334961,2.451,4.118
0.006074190139770508,2.490,4.196
0.006074190139770508,2.510,4.275
0.006074190139770508,2.529,4.020
0.006074190139770508,2.569,3.882
0.006074190139770508,2.608,3.824
0.006074190139770508,2.686,3.647
0.006074190139770508,2.745,3.510
0.006074190139770508,2.824,3.529
0.006074190139770508,2.922,3.706
0.006074190139770508,3.000,3.647
0.006074190139770508,3.098,3.647
0.006074190139770508,3.196,3.902
0.006074190139770508,3.235,3.627
0.006074190139770508,3.294,3.275
0.006074190139770508,3.294,3.098
0.006074190139770508,3.235,2.373
0.006074190139770508,3.176,1.529
0.007401227951049805,3.039,0.804
0.007401227951049805,2.902,0.255
0.007401227951049805,2.804,0.000
0.007401227951049805,2.667,0.000
0.007401227951049805,2.549,0.000
0.007401227951049805,2.431,0.000
0.007401227951049805,2.353,0.000
0.007401227951049805,2.275,0.000
0.007401227951049805,2.196,0.000
0.007401227951049805,2.157,0.000
