Время (с),A0 (В),A1 (В)
0.0,2.627,2.725275817460866
0.0,2.373,2.0069353629291578
0.0,2.373,2.0503561222920803
0.0012261867523193,2.275,1.8514855193673778
0.0012261867523193,2.51,2.14624336752955
0.0012261867523193,2.431,2.6845852621415016
0.0012261867523193,2.529,2.4228425718583697
0.0012261867523193,2.333,2.7253417182932154
0.0012261867523193,2.451,2.5757788579524483
0.0012261867523193,2.294,2.6851032657212497
0.0012261867523193,2.412,2.485307333010832
0.0012261867523193,2.392,2.7988778463572297
0.0012261867523193,2.627,2.667874715971198
0.0012261867523193,2.608,2.7633747590714326
0.0012261867523193,2.725,2.4242358790409724
0.0022265911102294,2.569,2.9326417886275307
0.0022265911102294,2.725,2.8613349090895324
0.0022265911102294,2.608,2.474732492272982
0.0022265911102294,2.765,2.67681531140737
0.0022265911102294,2.588,2.303173103440053
0.0022265911102294,2.706,3.2342322995573096
0.0022265911102294,2.471,2.06414109607114
0.0022265911102294,2.471,1.9922196224527822
0.0022265911102294,2.235,1.8921087418330127
0.0022265911102294,2.373,2.3851397706338497
0.0022265911102294,2.235,2.390667928230002
0.0022265911102294,2.294,2.312034482461188
0.0032258033752441,2.078,1.8928814746913043
0.0032258033752441,2.294,2.0632934008272805
0.0032258033752441,2.294,2.251797872679039
0.0032258033752441,2.569,2.7789657926217344
0.0032258033752441,2.49,2.6075972842390303
0.0032258033752441,2.588,2.8850873638449404
0.0032258033752441,2.353,2.32963437014968
0.0032258033752441,2.569,2.7343944283269748
0.0043151378631591,2.471,2.6861543423364553
0.0043151378631591,2.569,2.9563384728454696
0.0043151378631591,2.431,2.7279631560419015
0.0083138942718505,2.549,2.2464910128573483
0.0163681507110595,2.412,2.5882209673468344
0.0289232730865478,2.569,3.0728741216691606
0.0369236469268798,2.51,2.30098766066473
0.0494682788848876,2.627,2.609253894946459
0.0574684143066406,2.471,2.640902020795474
0.0694720745086669,2.588,2.8078664669137523
0.0775294303894043,2.471,2.131151785025745
0.0856993198394775,2.569,2.9510493056882106
0.0987191200256347,2.412,2.7028955881410988
0.10677170753479,2.51,2.940345752540514
0.1187915802001953,2.314,1.9682937091601744
0.1267917156219482,2.392,2.7950762685464983
0.1388943195343017,2.333,2.5576012300810924
0.1479675769805908,2.588,2.5590190818996557
0.1599669456481933,2.471,2.865814158203455
0.1680288314819336,2.588,2.903262470948809
0.1761229038238525,2.51,2.7088283531958863
0.18868088722229,2.725,2.4901361240996014
0.1967813968658447,2.647,2.133890272134983
0.208780288696289,2.765,3.0586450078822467
0.2168333530426025,2.569,2.065311785895303
0.2298328876495361,2.627,2.7755802638396085
0.237833023071289,2.431,2.04117969390976
0.2499487400054931,2.49,2.518906648114922
0.2580482959747314,2.353,2.2412513233722713
0.2660579681396484,2.529,2.0249625416472026
0.278170108795166,2.431,2.097596011834531
0.2866852283477783,2.51,2.748652280010189
0.2986824512481689,2.294,2.433724700295497
0.3066825866699219,2.412,2.344674267412157
0.3197894096374511,2.157,1.752120489661798
0.3277897834777832,2.216,2.389682815864178
0.3398635387420654,2.098,1.824493403249013
0.3478627204895019,2.353,2.4895573999160643
0.3608629703521728,2.333,2.3214411776710335
0.3688657283782959,2.569,2.9788933613238093
0.3813683986663818,2.392,2.836196823105192
0.3894670009613037,2.569,3.0109779374080077
0.4014792442321777,2.451,2.2124139038212003
0.4093477725982666,2.667,2.6458345446553357
0.4224071502685547,2.569,2.8866116051931656
0.4304068088531494,2.706,2.6590498477813385
0.4384071826934814,2.569,2.832960644133179
0.4505507946014404,2.804,3.3435538557650872
0.4585497379302978,2.706,2.168741916314155
0.4706945419311523,2.765,3.307268386599575
0.4797542095184326,2.451,2.2440985635422583
0.4917824268341064,2.529,2.7107376739906264
0.4998509883880615,2.216,2.4694745306102646
0.511911153793335,2.412,2.743967106810521
0.5199108123779297,2.314,2.628553352893113
0.5327670574188232,2.549,2.6777460516079583
0.540830135345459,2.392,2.5344985593823366
0.5529224872589111,2.627,2.2560967729582537
0.5609221458435059,2.412,1.9826388050903472
0.5689892768859863,2.549,2.226446506169143
0.5815536975860596,2.353,2.4472674515304096
0.58955979347229,2.529,2.676482144041505
0.6025598049163818,2.333,2.0350733553445144
0.6106202602386475,2.51,2.3156463115783446
0.6228795051574707,2.333,2.1507687987779573
0.6308910846710205,2.549,2.20731808385218
0.638948917388916,2.392,2.6887045215685914
0.6511321067810059,2.588,3.1037079239214056
0.6591336727142334,2.451,2.907035653203614
0.6721370220184326,2.588,2.585343149618792
0.680253267288208,2.255,2.6926276460550906
0.6925013065338135,2.431,2.400737570065024
0.7005033493041992,2.275,2.2099552646501066
0.7125029563903809,2.529,2.679023746682567
0.7206206321716309,2.373,2.699705417719925
0.7286796569824219,2.549,2.093059741433897
0.7417631149291992,2.333,2.623546539042283
0.7492718696594238,2.49,2.7634351805921065
0.7618248462677002,2.255,2.233063339936529
0.7705466747283936,2.51,2.893019872137964
0.7821140289306641,2.353,2.5621162566984603
0.7911150455474854,2.608,2.2535624469793696
0.803119421005249,2.49,2.5203745664920305
0.811119794845581,2.725,3.2037946063693203
0.8235962390899658,2.49,2.3064577829725352
0.8312556743621826,2.667,2.9919337393978713
0.8443143367767334,2.412,1.9524341611290514
0.8523156642913818,2.647,2.1397681762722733
0.8603153228759766,2.49,2.85147062060164
0.8724169731140137,2.706,3.1085570710613455
0.8809762001037598,2.471,2.34640059989526
0.8929834365844727,2.667,2.3978368380827213
0.9009828567504884,2.471,2.8141004115066206
0.9139831066131592,2.549,3.003174368216299
0.9220342636108398,2.216,2.4386609787060873
0.9341084957122804,2.431,1.9530670150766758
0.9421052932739258,2.235,2.158284200951644
0.9501066207885742,2.412,2.4343820003483096
0.963104486465454,2.176,2.4412579613068295
0.9711108207702636,2.451,2.700441934285635
0.9836208820343018,2.275,2.5447735039466473
0.991623878479004,2.412,2.3660059929292063
1.0036866664886477,2.255,1.8491655160687728
1.0116877555847168,2.471,2.7754715236375533
1.0236859321594238,2.333,1.9487404128905828
1.032686471939087,2.51,2.9997138527394207
1.0447502136230469,2.431,2.302799991641131
1.0528833866119385,2.588,2.7138575429317657
1.0648844242095947,2.549,2.080791456775823
1.0729520320892334,2.725,2.5558679467091037
1.0810139179229736,2.569,2.333230083914821
1.0940666198730469,2.765,3.2811038424477754
1.1020653247833252,2.608,2.1838757720087356
1.1140687465667725,2.667,2.5508081842084858
1.1221330165863037,2.51,2.650130060278244
1.1342692375183103,2.608,2.3892790526768977
1.1432688236236572,2.412,2.503839395182929
1.1512689590454102,2.529,2.9125122251539692
1.1633939743041992,2.353,2.569651661489191
1.1714580059051514,2.431,2.3378632850511525
1.183973789215088,2.255,2.2904947149234873
1.191971778869629,2.333,2.476401373799999
1.203970432281494,2.157,2.1967592318338687
1.2129709720611572,2.294,2.7521420017663143
1.224970817565918,2.255,2.411193950370262
1.232971429824829,2.392,2.600526080495875
1.241037368774414,2.216,2.4638139157693573
1.2530992031097412,2.373,2.3047081943329903
1.2621722221374512,2.353,2.3564076691873628
1.2741754055023191,2.627,2.803157034550842
1.2822542190551758,2.569,2.2839923706042025
1.293815851211548,2.725,3.19914737843116
1.3029778003692627,2.647,2.3532971895605783
1.3151028156280518,2.725,2.926341738197253
1.3231801986694336,2.588,2.1514033566466257
1.335179328918457,2.569,2.732233945131907
1.3431785106658936,2.569,2.9536589933832826
1.3562467098236084,2.569,2.309865394545536
1.3643741607666016,2.569,2.0998964244839295
1.37237811088562,2.451,2.6781774193918477
1.3844976425170898,2.373,2.1716864548651804
1.392496109008789,2.412,2.04989853836562
1.4055602550506592,2.392,2.5902636072014786
1.4136738777160645,2.353,2.035203268021613
1.4256744384765625,2.333,2.094202618519968
1.4337279796600342,2.373,2.1472459611921506
1.4457862377166748,2.392,2.760177713687856
1.4537851810455322,2.431,2.6421064450814313
1.462785243988037,2.431,2.8744471807707157
1.4748575687408447,2.529,2.9829995109368674
1.4833672046661377,2.569,2.5166225234538437
1.4943666458129885,2.49,2.2879363876197325
1.5034425258636477,2.647,3.008446791827031
1.5160949230194092,2.608,3.003160856478614
1.5240960121154783,2.706,2.767707004973753
1.5360960960388184,2.588,2.446045608793963
1.5440952777862549,2.627,3.0841194428303327
