Время (с),A0 (В),A1 (В)
0.0,3.098,2.8031664373939686
0.0,0.0,0.0
0.001004934310913,0.0,0.0
0.001004934310913,1.529,1.3181774177498409
0.001004934310913,4.608,3.7698498919700447
0.001004934310913,4.745,4.74769240106891
0.001004934310913,4.784,4.421861525295881
0.001004934310913,4.647,4.931895203018571
0.001004934310913,4.647,4.73168676743945
0.001004934310913,0.0,0.0
0.001004934310913,0.0,0.0
0.001004934310913,0.0,0.0
0.001004934310913,0.0,0.0
0.0020051002502441,0.0,0.0
0.0020051002502441,0.0,0.0
0.0020051002502441,0.765,0.6470198141961091
0.0020051002502441,3.059,3.40359101592357
0.0020051002502441,4.725,4.930745389627598
0.0020051002502441,4.725,4.871103577792713
0.0020051002502441,4.725,4.869701754277718
0.0020051002502441,4.725,4.858008773915598
0.0020051002502441,4.725,4.0542239402745786
0.0020051002502441,4.725,3.9207484419505656
0.0020051002502441,4.725,4.244533835674787
0.0020051002502441,4.725,4.757324432419911
0.0030045509338378,4.725,4.012628307018464
0.0030045509338378,4.725,3.830801267904849
0.0030045509338378,4.725,4.282015152985462
0.0030045509338378,4.725,4.067611762684263
0.0030045509338378,4.725,4.141537089935019
0.0030045509338378,4.725,4.641807410043319
0.0030045509338378,4.725,4.898354510198281
0.0030045509338378,4.725,4.209114894851083
0.0030045509338378,4.725,4.544606843940793
0.0030045509338378,4.725,4.917878140339595
0.0040609836578369,4.725,3.971407167398219
0.0040609836578369,3.902,4.480133112385028
0.0040609836578369,4.686,4.568633415792285
0.0100593566894531,4.137,3.350804091581758
0.0221123695373535,4.725,4.7154717238905715
0.0301673412322998,0.098,0.07992837216208325
0.0426747798919677,2.902,2.538455834868472
0.0508606433868408,2.863,2.561431701369062
0.062939167022705,0.706,0.7965619706637836
0.0709388256072998,0.0,0.0
0.0829389095306396,0.0,0.0
0.0910248756408691,1.059,0.8569903993275695
0.1000823974609375,0.0,0.0
0.1120829582214355,0.0,0.0
0.1200823783874511,0.0,0.0
0.132087230682373,2.569,2.9482746007165606
0.1406006813049316,0.0,0.0
0.152599811553955,0.0,0.0
0.1606662273406982,0.843,0.6811659803729065
0.1737463474273681,0.0,0.0
0.1818044185638427,0.0,0.0
0.1898870468139648,0.0,0.0
0.2018876075744629,0.0,0.0
0.2098875045776367,0.0,0.0
0.2228925228118896,0.098,0.0811870580769744
0.230891466140747,0.0,0.0
0.2434010505676269,0.0,0.0
0.2515161037445068,0.0,0.0
0.2595765590667724,0.196,0.22874867213116817
0.271575927734375,0.0,0.0
0.2795765399932861,0.98,0.9710227340539873
0.2926850318908691,0.0,0.0
0.3008275032043457,4.725,4.307036954103822
0.3128290176391601,0.0,0.0
0.3208272457122803,4.745,4.960521374760985
0.3328924179077148,0.0,0.0
0.3414039611816406,4.745,4.998678324538361
0.353403091430664,0.0,0.0
0.3614037036895752,4.745,4.563688957759882
0.3744029998779297,0.0,0.0
0.3824594020843506,4.745,3.9376301933805165
0.3905107975006103,0.0,0.0
0.4025111198425293,4.725,4.735168487236264
0.4105970859527588,0.0,0.0
0.4236888885498047,4.725,4.36737262829746
0.4317424297332763,0.0,0.0
0.4442517757415771,4.725,4.064621014985558
0.4522521495819092,0.0,0.0
0.4643054008483886,4.725,4.507158177188526
0.4723646640777588,0.0,0.0
0.484363317489624,4.725,3.95572736564679
0.4933626651763916,0.0,0.0
0.5054705142974854,4.725,3.983981905760921
0.5136215686798096,0.392,0.3487170510104657
0.5216217041015625,4.725,4.170318035949917
0.5336260795593262,0.314,0.32129728634610244
0.5421903133392334,4.725,4.975556719722835
0.5542380809783936,1.333,1.2980387674865816
0.5622386932373047,4.725,3.996422671069944
0.5752382278442383,0.529,0.5784088758638684
0.583378791809082,4.725,3.8650657308780674
0.5953783988952637,1.725,2.039977651170913
0.6034295558929443,4.725,3.9184091538053845
0.6114885807037354,1.098,1.1423800458952256
0.6244947910308838,4.725,4.680020088084043
0.6325616836547852,0.882,0.7656688487627155
0.643625020980835,4.725,4.972005428880948
0.6522684097290039,0.0,0.0
0.6648759841918945,4.725,4.7740018652990575
0.6728770732879639,0.451,0.4150589204135771
0.6851296424865723,4.137,3.4613147888898346
0.6942002773284912,0.471,0.5015909450555797
0.7021999359130859,4.725,4.690420099379771
0.7141993045806885,1.314,1.2990523649762615
0.7222037315368652,4.471,4.102806055592194
0.7348918914794922,0.0,0.0
0.7432339191436768,2.961,3.3054151843450783
0.7553446292877197,0.137,0.1538205753095278
0.7634522914886475,2.765,3.019091383880358
0.7714526653289795,0.0,0.0
0.7840423583984375,1.902,1.7599106143901821
0.7920420169830322,0.0,0.0
0.804105281829834,2.078,1.6860262544413194
0.8121054172515869,0.0,0.0
0.8251774311065674,1.431,1.2655126965701982
0.833179235458374,0.922,0.7693649145472577
0.8452823162078857,1.373,1.1914775187503372
0.8532819747924805,1.961,2.059219895057366
0.8653361797332764,2.0,1.790683180700723
0.8743832111358643,0.51,0.4432680313892913
0.8863832950592041,1.176,1.4106345318306504
0.894383430480957,1.882,2.232336600551479
0.9024810791015624,2.039,1.855486446606648
0.9148201942443848,1.765,1.772399390144745
0.9233288764953612,2.039,1.748773623930792
0.9357962608337402,2.529,2.787369923601493
0.9433050155639648,2.176,2.1193069376345113
0.9563050270080566,0.961,1.109271184789394
0.9643051624298096,1.49,1.387038991772142
0.9763638973236084,2.176,2.143212814316307
0.984363317489624,2.353,2.3216543396150886
0.9963629245758056,2.451,2.1304182940786656
1.0054221153259275,2.059,2.1160406782353838
1.017421007156372,3.039,2.6134077025814686
1.025432825088501,3.039,3.5342825134750027
1.033492088317871,3.373,3.169716572295337
1.0460004806518557,2.824,2.6763628548426244
1.0539987087249756,3.392,3.7006963518592118
1.0661118030548096,3.216,3.7864171729406655
1.0751111507415771,3.196,3.6745323640784653
1.0871756076812744,3.137,2.667791981018545
1.0951762199401855,3.51,3.478680452535794
1.107175588607788,2.294,2.3774810204160315
1.1152405738830566,2.118,2.500795685199153
1.12799072265625,2.039,2.2275257689707506
1.135995626449585,3.118,3.0208081876955277
1.1481895446777344,2.608,2.356770717986233
1.156188726425171,2.353,2.050042509650629
1.1651897430419922,1.98,1.7001061273058762
1.1772379875183103,2.882,3.405534099909578
1.1852383613586426,2.294,2.053123812967918
1.1972367763519287,3.275,3.282666590073563
1.206237554550171,2.745,3.1208129555159236
1.2182397842407229,3.49,4.109325350807053
1.226297378540039,2.804,2.6504880964017636
1.23846435546875,3.941,4.429751414920934
1.2464661598205566,2.039,2.4095418001053153
1.2544655799865725,3.118,3.3702662828355545
1.2675285339355469,4.745,4.498508037017568
1.2755241394042969,4.745,3.80840793844606
1.2875375747680664,4.745,4.701306226921936
1.295646905899048,4.745,4.192160850598441
1.3077278137207031,4.745,4.91044430633189
1.3167269229888916,4.745,4.683689008651251
1.3288817405700684,4.745,4.549914218134362
1.3359262943267822,4.745,4.805958321578732
1.3494341373443604,3.176,3.1606034259615763
1.3574342727661133,3.451,2.9404751198251757
1.3694353103637695,3.039,3.3611448127860313
1.3775248527526855,3.804,3.4050259437856654
1.3855276107788086,0.0,0.0
1.398088455200195,0.431,0.4825851317783836
1.4066908359527588,0.0,0.0
1.418691635131836,1.647,1.3508391783562859
1.4266953468322754,4.627,4.863450753829207
1.439105987548828,4.608,4.695443320749103
1.4472017288208008,4.608,4.6025730283010855
1.455202579498291,4.627,4.667060970513043
1.46820068359375,4.529,4.175257644201955
1.4762005805969238,2.824,2.9742549744442996
1.48834228515625,0.902,0.7473411922043233
1.4964585304260254,0.745,0.8156781284024649
1.5084588527679443,0.0,0.0
1.5174579620361328,0.0,0.0
1.5295138359069824,0.0,0.0
1.5375752449035645,0.0,0.0
1.5499730110168457,0.0,0.0
1.5580265522003174,0.0,0.0
1.5701072216033936,0.0,0.0
1.5781054496765137,0.0,0.0
1.5871965885162354,0.0,0.0
1.5992422103881836,0.0,0.0
1.6072428226470947,0.0,0.0
1.6192431449890137,1.961,1.751944959553018
1.6272475719451904,0.686,0.7424818090186254
1.6398310661315918,0.118,0.10600171487912848
1.647883653640747,0.0,0.0
1.660881757736206,4.569,3.887242953781835
1.6688849925994873,4.667,4.405396652768051
1.676387071609497,4.667,4.153553528698492
1.6894810199737549,3.863,4.216598028730996
1.6974868774414062,4.667,3.8070070556825275
1.7100918292999268,2.824,2.3878257598270456
1.7180943489074707,4.667,4.3318213278523645
1.7300958633422852,4.667,4.822975572206946
1.738598108291626,4.667,4.7979221910570855
1.750602960586548,3.745,3.954112972881825
1.758601427078247,4.667,4.959635704704648
1.766601800918579,4.667,3.763001728672884
1.779602289199829,4.667,4.414836289361586
1.7870783805847168,4.667,4.896887295768218
1.8000779151916504,4.667,3.919383577737533
1.8080782890319824,4.667,4.542678876781755
1.8201286792755127,4.667,4.455434638802693
1.828178882598877,3.902,3.9894263093955007
1.8406879901885984,4.667,4.929630437188818
1.848689079284668,4.667,4.239018147985051
1.860803842544556,4.667,3.768924527248383
1.868893384933472,2.431,2.412884491200881
1.8818929195404053,4.412,4.629402793692156
1.8898940086364744,2.176,2.06283251603873
1.898022413253784,3.647,4.133989255161465
1.910021543502808,0.02,0.018501485303074546
1.9190266132354736,3.451,3.476104872946386
1.9310989379882808,2.255,1.9998915993133095
1.9386041164398196,4.176,4.9977964900849265
1.9516615867614744,0.569,0.4843382938275365
1.959744453430176,1.353,1.2083057928132828
1.9677443504333496,0.0,0.0
1.979839324951172,0.902,1.05966055389064
1.98798942565918,0.0,0.0
1.9999847412109373,0.373,0.3938300158012801
2.0089848041534424,0.0,0.0
2.021036386489868,2.255,2.055046223236393
2.029093980789185,0.0,0.0
2.041154623031616,2.824,2.83788104570922
2.049154281616211,0.471,0.43641402736967694
2.0622150897979736,3.784,3.5302250986961368
2.070213794708252,0.0,0.0
2.082214117050171,2.608,3.097922368430805
2.0902140140533447,0.0,0.0
2.0982627868652344,2.745,2.3661223604368735
2.111318588256836,0.059,0.05846517493195727
2.119422912597656,3.118,2.872951826697775
2.131436824798584,0.0,0.0
2.1395740509033203,3.0,3.1728441643982856
2.15219783782959,0.0,0.0
2.1598093509674072,1.667,1.6062415458808998
2.1728079319000244,0.0,0.0
2.180901050567627,2.569,2.183238937984618
2.188950061798096,0.0,0.0
2.200948476791382,2.314,1.9517214291203258
2.208947896957397,0.0,0.0
2.2220005989074707,2.549,2.668897190976039
2.2301204204559326,0.0,0.0
2.241635322570801,2.725,2.957403517124761
2.250688314437866,0.0,0.0
2.2627501487731934,1.686,1.8602762714487109
2.270753860473633,0.0,0.0
2.278749465942383,1.294,1.0728503989802283
2.2917490005493164,0.0,0.0
2.2998597621917725,1.824,1.7362298903859488
2.311861038208008,0.0,0.0
2.31985855102539,3.471,3.7042558632067273
2.33186411857605,0.647,0.6884204101816741
2.340370416641236,4.49,3.7304594616529627
2.3524794578552246,0.98,0.8116291593241877
2.360626697540283,4.529,3.901946295771387
2.373626947402954,1.824,1.5912172117560994
2.3816282749176025,4.216,4.431840923311229
2.3937904834747314,2.255,2.5774739578124306
2.4017910957336426,4.667,4.7890268713728705
2.4097907543182373,2.529,2.558551931177038
2.422682285308838,4.667,3.857603988953236
2.4306819438934326,2.667,3.196825605647387
2.443094491958618,4.667,4.982919865704753
2.451193332672119,1.02,1.1359229838054616
2.463244199752808,4.157,4.324287076463504
2.4712443351745605,1.549,1.8376263832462296
2.47924542427063,3.745,3.606020681759612
2.492246627807617,0.451,0.5268943789326
2.5003662109375,2.804,2.6286879887578767
2.512367010116577,0.294,0.2980194316582105
2.5203661918640137,1.863,1.8502440960508373
2.5333714485168457,0.059,0.06866129725730641
2.540883779525757,1.176,1.294493612548107
2.5529956817626958,0.098,0.08500938582347542
2.561995267868042,1.118,1.3327124349737578
2.574056625366211,0.314,0.3691042470706348
2.5820553302764893,1.137,1.252346202052564
2.594055652618408,0.176,0.19948416955775833
2.6030561923980717,1.314,1.343010746103558
2.614870309829712,0.863,0.8788731311453337
2.622868776321411,2.216,2.4496766690887144
2.6348745822906494,1.49,1.7346105264985558
2.643450736999512,2.49,2.3229395222525704
2.651450157165528,1.196,1.2016293175980783
2.6644506454467773,2.078,2.3245411432417744
2.672516345977783,1.412,1.562347127253219
2.6845765113830566,2.392,1.95975107104705
2.692643165588379,1.275,1.212333653227707
2.704703092575073,2.373,2.139976129550973
2.712774515151977,1.078,1.2382638071313883
2.7257885932922363,1.333,1.4326286469491132
2.733859062194824,0.059,0.06605849657435234
2.741436004638672,0.216,0.19331837627485832
2.754433870315552,0.0,0.0
2.762441396713257,0.784,0.6702928066188486
2.774545669555664,1.039,1.0172230255811145
2.782606840133667,1.216,1.38325115306088
2.79560661315918,1.49,1.5794206023120911
2.8036067485809326,1.608,1.4087128982933343
2.815690755844116,3.353,2.963081204750117
2.823691368103028,2.647,2.529911742832068
2.831699848175049,1.804,1.5502883491692925
2.844362735748291,2.118,1.8706255488022918
2.8524329662323,2.02,1.6926806106993884
2.864431381225586,1.843,1.7584277096397076
2.873432159423828,2.157,1.8610743131360312
2.885497808456421,1.647,1.716317696088455
2.8936431407928467,3.098,3.0898850893379053
2.906163215637207,1.686,1.8867667646924382
2.913817882537842,1.922,2.0372365376507813
2.925902843475342,1.431,1.5033956424269068
2.9339804649353027,2.765,2.5612821480247945
2.946491003036499,2.039,2.035624758136525
2.9544918537139893,3.588,3.5165587093644506
2.963589906692505,3.157,2.78893468822122
2.9756805896759038,3.902,4.015951890018773
2.983680486679077,3.373,3.1724023680340303
2.9958126544952397,3.059,2.625943958792857
3.003694534301758,2.608,2.2151129292801786
3.0166947841644287,3.647,4.160613511343736
3.024701833724976,3.765,3.994978711268698
3.0368776321411133,4.667,4.802753614257085
3.0453908443450928,4.176,4.875783595321625
3.057389497756958,4.667,4.277553284293589
3.065393447875977,4.098,4.264661920256094
3.0773913860321045,4.667,3.9127244859652346
3.0863921642303467,2.608,3.114235961923929
3.094395637512207,3.51,3.7839017482660577
3.106393575668335,1.824,1.8944183473958136
3.1143908500671387,2.706,2.354258360538976
3.12739634513855,1.176,1.2910487664812804
3.1353964805603027,1.784,1.6829756713921347
3.14751935005188,0.686,0.7014477054832867
3.1555733680725098,2.627,2.3916986950290715
3.1635730266571045,1.824,1.9499005408537884
3.1765732765197754,4.569,3.7786315989477495
3.1846413612365723,3.255,3.0122305283378883
3.1956918239593506,4.686,4.464175297629712
3.204777956008911,3.706,3.1928739707737774
3.2168526649475098,4.686,3.971477160405348
3.224862575531006,3.294,2.956515473591566
3.237921714782715,4.686,4.56571783475049
3.245429992675781,3.294,3.297707738410716
3.253432273864746,4.157,4.7884399085565414
3.2666165828704834,2.353,2.4173568265651557
3.2746715545654297,4.235,4.410251087451752
3.2866694927215576,2.922,3.2680553275506536
3.294670820236206,4.667,4.929878553224692
3.306860446929932,2.627,2.8669266783818133
3.3158605098724365,3.804,4.534778075312754
3.327864408493042,2.627,2.8986282779207446
3.3359155654907227,4.039,3.631407888332873
3.3444244861602783,2.255,1.9805428132810985
3.3564229011535645,3.216,3.341933685435274
3.364423513412476,1.549,1.6478438949837582
3.376426935195923,2.961,2.8969179323508536
