Время (с),A0 (В),A1 (В)
0.0,0.608,0.6109201346568762
0.0,2.294,2.3009141061450125
0.0012133121490478,0.902,0.7816537719192234
0.0012133121490478,2.314,1.967034532541901
0.0012133121490478,0.824,0.9517381636341943
0.0012133121490478,2.314,1.885598670322433
0.0012133121490478,0.941,0.7930000871647129
0.0012133121490478,2.431,2.3364158129666435
0.0012133121490478,1.059,1.0978802151837705
0.0012133121490478,2.314,1.8823215945625824
0.0012133121490478,0.725,0.7195467789326611
0.0012133121490478,1.765,1.6583272884667757
0.0012133121490478,0.196,0.21769532485008683
0.0022103786468505,2.353,2.246827776888334
0.0022103786468505,0.804,0.7024508506332355
0.0022103786468505,2.039,1.7523164775411002
0.0022103786468505,1.098,1.235104934224816
0.0022103786468505,1.686,1.7597660743232963
0.0022103786468505,1.961,1.8434975388130113
0.0022103786468505,1.549,1.462541830279416
0.0022103786468505,2.588,2.4013025674227877
0.0022103786468505,2.667,2.7622596447532652
0.0022103786468505,1.196,1.2707650855828987
0.0022103786468505,2.098,2.1205856422768536
0.0022103786468505,1.765,1.4565012434767919
0.0022103786468505,2.451,2.342412887868977
0.0032105445861816,1.353,1.104283744496232
0.0032105445861816,2.294,2.5257366300797437
0.0032105445861816,1.706,1.9863153445511132
0.0032105445861816,2.333,2.472643655406181
0.0032105445861816,0.824,0.6692723431396923
0.0032105445861816,1.961,1.9447559682958808
0.0032105445861816,1.392,1.641525123285057
0.0032105445861816,1.686,1.885419573097494
0.0032105445861816,2.333,2.051993328642369
0.0032105445861816,2.157,2.3945834094216694
0.0032105445861816,2.902,2.5823621884880374
0.0042674541473388,1.804,1.9910001020448558
0.0122647285461425,1.961,1.7231052620651623
0.0203101634979248,1.686,1.985449361374667
0.0323095321655273,2.706,3.066564848493269
0.0403525829315185,1.569,1.8117549208795463
0.0495827198028564,1.706,1.4723950309734144
0.0619146823883056,1.843,1.9955785203283916
0.0699124336242675,3.157,2.7598599841494935
0.0819137096405029,1.627,1.8885341767597552
0.0899126529693603,0.863,0.77685943797722
0.1020255088806152,1.059,1.130577357479094
0.1110725402832031,2.157,2.2135292613987954
0.1230766773223877,1.882,1.810021175922878
